Unnamed: 0,mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,cluster
117,29.0,4,68.0,49.0,1867.0,19.5,73,2,fiat 128,1
118,24.0,4,116.0,75.0,2158.0,15.5,73,2,opel manta,1
119,20.0,4,114.0,91.0,2582.0,14.0,73,2,audi 100ls,1
120,19.0,4,121.0,112.0,2868.0,15.5,73,2,volvo 144ea,3
121,15.0,8,318.0,150.0,3399.0,11.0,73,1,dodge dart custom,3
122,24.0,4,121.0,110.0,2660.0,14.0,73,2,saab 99le,1
123,20.0,6,156.0,122.0,2807.0,13.5,73,3,toyota mark ii,3
124,11.0,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile omega,3
125,20.0,6,198.0,95.0,3102.0,16.5,74,1,plymouth duster,3
126,21.0,6,200.0,104.46938775510205,2875.0,17.0,74,1,ford maverick,3
127,19.0,6,232.0,100.0,2901.0,16.0,74,1,amc hornet,3
128,15.0,6,250.0,100.0,3336.0,17.0,74,1,chevrolet nova,3
129,31.0,4,79.0,67.0,1950.0,19.0,74,3,datsun b210,1
130,26.0,4,122.0,80.0,2451.0,16.5,74,1,ford pinto,1
131,32.0,4,71.0,65.0,1836.0,21.0,74,3,toyota corolla 1200,1
132,25.0,4,140.0,75.0,2542.0,17.0,74,1,chevrolet vega,1
133,16.0,6,250.0,100.0,3781.0,17.0,74,1,chevrolet chevelle malibu classic,2
134,16.0,6,258.0,110.0,3632.0,18.0,74,1,amc matador,3
135,18.0,6,225.0,105.0,3613.0,16.5,74,1,plymouth satellite sebring,3
136,16.0,8,302.0,140.0,4141.0,14.0,74,1,ford gran torino,2
137,13.0,8,350.0,150.0,4699.0,14.5,74,1,buick century luxus (sw),2
138,14.0,8,318.0,150.0,4457.0,13.5,74,1,dodge coronet custom (sw),2
139,14.0,8,302.0,140.0,4638.0,16.0,74,1,ford gran torino (sw),2
140,14.0,8,304.0,150.0,4257.0,15.5,74,1,amc matador (sw),2
141,29.0,4,98.0,83.0,2219.0,16.5,74,2,audi fox,1
142,26.0,4,79.0,67.0,1963.0,15.5,74,2,volkswagen dasher,1
143,26.0,4,97.0,78.0,2300.0,14.5,74,2,opel manta,1
144,31.0,4,76.0,52.0,1649.0,16.5,74,3,toyota corona,1
145,32.0,4,83.0,61.0,2003.0,19.0,74,3,datsun 710,1
146,28.0,4,90.0,75.0,2125.0,14.5,74,1,dodge colt,1
147,24.0,4,90.0,75.0,2108.0,15.5,74,2,fiat 128,1
148,26.0,4,116.0,75.0,2246.0,14.0,74,2,fiat 124 tc,1
149,24.0,4,120.0,97.0,2489.0,15.0,74,3,honda civic,1
150,26.0,4,108.0,93.0,2391.0,15.5,74,3,subaru,1
151,31.0,4,79.0,67.0,2000.0,16.0,74,2,fiat x1.9,1
152,19.0,6,225.0,95.0,3264.0,16.0,75,1,plymouth valiant custom,3
153,18.0,6,250.0,105.0,3459.0,16.0,75,1,chevrolet nova,3
154,15.0,6,250.0,72.0,3432.0,21.0,75,1,mercury monarch,3
155,15.0,6,250.0,72.0,3158.0,19.5,75,1,ford maverick,3
156,16.0,8,400.0,170.0,4668.0,11.5,75,1,pontiac catalina,2
157,15.0,8,350.0,145.0,4440.0,14.0,75,1,chevrolet bel air,2
158,16.0,8,318.0,150.0,4498.0,14.5,75,1,plymouth grand fury,2
159,14.0,8,351.0,148.0,4657.0,13.5,75,1,ford ltd,2
160,17.0,6,231.0,110.0,3907.0,21.0,75,1,buick century,2
161,16.0,6,250.0,105.0,3897.0,18.5,75,1,chevroelt chevelle malibu,2
162,15.0,6,258.0,110.0,3730.0,19.0,75,1,amc matador,2
163,18.0,6,225.0,95.0,3785.0,19.0,75,1,plymouth fury,2
164,21.0,6,231.0,110.0,3039.0,15.0,75,1,buick skyhawk,3
165,20.0,8,262.0,110.0,3221.0,13.5,75,1,chevrolet monza 2+2,3
166,13.0,8,302.0,129.0,3169.0,12.0,75,1,ford mustang ii,3
167,29.0,4,97.0,75.0,2171.0,16.0,75,3,toyota corolla,1
168,23.0,4,140.0,83.0,2639.0,17.0,75,1,ford pinto,1
169,20.0,6,232.0,100.0,2914.0,16.0,75,1,amc gremlin,3
170,23.0,4,140.0,78.0,2592.0,18.5,75,1,pontiac astro,1
171,24.0,4,134.0,96.0,2702.0,13.5,75,3,toyota corona,3
172,25.0,4,90.0,71.0,2223.0,16.5,75,2,volkswagen dasher,1
173,24.0,4,119.0,97.0,2545.0,17.0,75,3,datsun 710,1
174,18.0,6,171.0,97.0,2984.0,14.5,75,1,ford pinto,3
175,29.0,4,90.0,70.0,1937.0,14.0,75,2,volkswagen rabbit,1
176,19.0,6,232.0,90.0,3211.0,17.0,75,1,amc pacer,3
177,23.0,4,115.0,95.0,2694.0,15.0,75,2,audi 100ls,3
178,23.0,4,120.0,88.0,2957.0,17.0,75,2,peugeot 504,3
179,22.0,4,121.0,98.0,2945.0,14.5,75,2,volvo 244dl,3
180,25.0,4,121.0,115.0,2671.0,13.5,75,2,saab 99le,1
181,33.0,4,91.0,53.0,1795.0,17.5,75,3,honda civic cvcc,1
182,28.0,4,107.0,86.0,2464.0,15.5,76,2,fiat 131,1
183,25.0,4,116.0,81.0,2220.0,16.9,76,2,opel 1900,1
184,25.0,4,140.0,92.0,2572.0,14.9,76,1,capri ii,1
185,26.0,4,98.0,79.0,2255.0,17.7,76,1,dodge colt,1
186,27.0,4,101.0,83.0,2202.0,15.3,76,2,renault 12tl,1
187,17.5,8,305.0,140.0,4215.0,13.0,76,1,chevrolet chevelle malibu classic,2
188,16.0,8,318.0,150.0,4190.0,13.0,76,1,dodge coronet brougham,2
189,15.5,8,304.0,120.0,3962.0,13.9,76,1,amc matador,2
190,14.5,8,351.0,152.0,4215.0,12.8,76,1,ford gran torino,2
191,22.0,6,225.0,100.0,3233.0,15.4,76,1,plymouth valiant,3
192,22.0,6,250.0,105.0,3353.0,14.5,76,1,chevrolet nova,3
193,24.0,6,200.0,81.0,3012.0,17.6,76,1,ford maverick,3
194,22.5,6,232.0,90.0,3085.0,17.6,76,1,amc hornet,3
195,29.0,4,85.0,52.0,2035.0,22.2,76,1,chevrolet chevette,1
196,24.5,4,98.0,60.0,2164.0,22.1,76,1,chevrolet woody,1
197,29.0,4,90.0,70.0,1937.0,14.2,76,2,vw rabbit,1
198,33.0,4,91.0,53.0,1795.0,17.4,76,3,honda civic,1
199,20.0,6,225.0,100.0,3651.0,17.7,76,1,dodge aspen se,3
200,18.0,6,250.0,78.0,3574.0,21.0,76,1,ford granada ghia,3
201,18.5,6,250.0,110.0,3645.0,16.2,76,1,pontiac ventura sj,3
202,17.5,6,258.0,95.0,3193.0,17.8,76,1,amc pacer d/l,3
203,29.5,4,97.0,71.0,1825.0,12.2,76,2,volkswagen rabbit,1
204,32.0,4,85.0,70.0,1990.0,17.0,76,3,datsun b-210,1
205,28.0,4,97.0,75.0,2155.0,16.4,76,3,toyota corolla,1
206,26.5,4,140.0,72.0,2565.0,13.6,76,1,ford pinto,1
207,20.0,4,130.0,102.0,3150.0,15.7,76,2,volvo 245,3
208,13.0,8,318.0,150.0,3940.0,13.2,76,1,plymouth volare premier v8,2
209,19.0,4,120.0,88.0,3270.0,21.9,76,2,peugeot 504,3
210,19.0,6,156.0,108.0,2930.0,15.5,76,3,toyota mark ii,3
211,16.5,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz 280s,2
212,16.5,8,350.0,180.0,4380.0,12.1,76,1,cadillac seville,2
213,13.0,8,350.0,145.0,4055.0,12.0,76,1,chevy c10,2
214,13.0,8,302.0,130.0,3870.0,15.0,76,1,ford f108,2
215,13.0,8,318.0,150.0,3755.0,14.0,76,1,dodge d100,2
216,31.5,4,98.0,68.0,2045.0,18.5,77,3,honda accord cvcc,1
217,30.0,4,111.0,80.0,2155.0,14.8,77,1,buick opel isuzu deluxe,1
218,36.0,4,79.0,58.0,1825.0,18.6,77,2,renault 5 gtl,1
219,25.5,4,122.0,96.0,2300.0,15.5,77,1,plymouth arrow gs,1
220,33.5,4,85.0,70.0,1945.0,16.8,77,3,datsun f-10 hatchback,1
221,17.5,8,305.0,145.0,3880.0,12.5,77,1,chevrolet caprice classic,2
222,17.0,8,260.0,110.0,4060.0,19.0,77,1,oldsmobile cutlass supreme,2
223,15.5,8,318.0,145.0,4140.0,13.7,77,1,dodge monaco brougham,2
224,15.0,8,302.0,130.0,4295.0,14.9,77,1,mercury cougar brougham,2
225,17.5,6,250.0,110.0,3520.0,16.4,77,1,chevrolet concours,3
226,20.5,6,231.0,105.0,3425.0,16.9,77,1,buick skylark,3
227,19.0,6,225.0,100.0,3630.0,17.7,77,1,plymouth volare custom,3
228,18.5,6,250.0,98.0,3525.0,19.0,77,1,ford granada,3
229,16.0,8,400.0,180.0,4220.0,11.1,77,1,pontiac grand prix lj,2
230,15.5,8,350.0,170.0,4165.0,11.4,77,1,chevrolet monte carlo landau,2
231,15.5,8,400.0,190.0,4325.0,12.2,77,1,chrysler cordoba,2
232,16.0,8,351.0,149.0,4335.0,14.5,77,1,ford thunderbird,2
233,29.0,4,97.0,78.0,1940.0,14.5,77,2,volkswagen rabbit custom,1
234,24.5,4,151.0,88.0,2740.0,16.0,77,1,pontiac sunbird coupe,3
235,26.0,4,97.0,75.0,2265.0,18.2,77,3,toyota corolla liftback,1
236,25.5,4,140.0,89.0,2755.0,15.8,77,1,ford mustang ii 2+2,3
237,30.5,4,98.0,63.0,2051.0,17.0,77,1,chevrolet chevette,1
238,33.5,4,98.0,83.0,2075.0,15.9,77,1,dodge colt m/m,1
239,30.0,4,97.0,67.0,1985.0,16.4,77,3,subaru dl,1
240,30.5,4,97.0,78.0,2190.0,14.1,77,2,volkswagen dasher,1
241,22.0,6,146.0,97.0,2815.0,14.5,77,3,datsun 810,3
242,21.5,4,121.0,110.0,2600.0,12.8,77,2,bmw 320i,1
243,21.5,3,80.0,110.0,2720.0,13.5,77,3,mazda rx-4,3
244,43.1,4,90.0,48.0,1985.0,21.5,78,2,volkswagen rabbit custom diesel,1
245,36.1,4,98.0,66.0,1800.0,14.4,78,1,ford fiesta,1
246,32.8,4,78.0,52.0,1985.0,19.4,78,3,mazda glc deluxe,1
247,39.4,4,85.0,70.0,2070.0,18.6,78,3,datsun b210 gx,1
248,36.1,4,91.0,60.0,1800.0,16.4,78,3,honda civic cvcc,1
249,19.9,8,260.0,110.0,3365.0,15.5,78,1,oldsmobile cutlass salon brougham,3
250,19.4,8,318.0,140.0,3735.0,13.2,78,1,dodge diplomat,2
251,20.2,8,302.0,139.0,3570.0,12.8,78,1,mercury monarch ghia,3
252,19.2,6,231.0,105.0,3535.0,19.2,78,1,pontiac phoenix lj,3
253,20.5,6,200.0,95.0,3155.0,18.2,78,1,chevrolet malibu,3
254,20.2,6,200.0,85.0,2965.0,15.8,78,1,ford fairmont (auto),3
255,25.1,4,140.0,88.0,2720.0,15.4,78,1,ford fairmont (man),3
256,20.5,6,225.0,100.0,3430.0,17.2,78,1,plymouth volare,3
257,19.4,6,232.0,90.0,3210.0,17.2,78,1,amc concord,3
258,20.6,6,231.0,105.0,3380.0,15.8,78,1,buick century special,3
259,20.8,6,200.0,85.0,3070.0,16.7,78,1,mercury zephyr,3
260,18.6,6,225.0,110.0,3620.0,18.7,78,1,dodge aspen,3
261,18.1,6,258.0,120.0,3410.0,15.1,78,1,amc concord d/l,3
262,19.2,8,305.0,145.0,3425.0,13.2,78,1,chevrolet monte carlo landau,3
263,17.7,6,231.0,165.0,3445.0,13.4,78,1,buick regal sport coupe (turbo),3
264,18.1,8,302.0,139.0,3205.0,11.2,78,1,ford futura,3
265,17.5,8,318.0,140.0,4080.0,13.7,78,1,dodge magnum xe,2
266,30.0,4,98.0,68.0,2155.0,16.5,78,1,chevrolet chevette,1
267,27.5,4,134.0,95.0,2560.0,14.2,78,3,toyota corona,1
268,27.2,4,119.0,97.0,2300.0,14.7,78,3,datsun 510,1
269,30.9,4,105.0,75.0,2230.0,14.5,78,1,dodge omni,1
270,21.1,4,134.0,95.0,2515.0,14.8,78,3,toyota celica gt liftback,1
271,23.2,4,156.0,105.0,2745.0,16.7,78,1,plymouth sapporo,3
272,23.8,4,151.0,85.0,2855.0,17.6,78,1,oldsmobile starfire sx,3
273,23.9,4,119.0,97.0,2405.0,14.9,78,3,datsun 200-sx,1
274,20.3,5,131.0,103.0,2830.0,15.9,78,2,audi 5000,3
275,17.0,6,163.0,125.0,3140.0,13.6,78,2,volvo 264gl,3
276,21.6,4,121.0,115.0,2795.0,15.7,78,2,saab 99gle,3
277,16.2,6,163.0,133.0,3410.0,15.8,78,2,peugeot 604sl,3
278,31.5,4,89.0,71.0,1990.0,14.9,78,2,volkswagen scirocco,1
279,29.5,4,98.0,68.0,2135.0,16.6,78,3,honda accord lx,1
280,21.5,6,231.0,115.0,3245.0,15.4,79,1,pontiac lemans v6,3
281,19.8,6,200.0,85.0,2990.0,18.2,79,1,mercury zephyr 6,3
282,22.3,4,140.0,88.0,2890.0,17.3,79,1,ford fairmont 4,3
283,20.2,6,232.0,90.0,3265.0,18.2,79,1,amc concord dl 6,3
284,20.6,6,225.0,110.0,3360.0,16.6,79,1,dodge aspen 6,3
285,17.0,8,305.0,130.0,3840.0,15.4,79,1,chevrolet caprice classic,2
286,17.6,8,302.0,129.0,3725.0,13.4,79,1,ford ltd landau,2
287,16.5,8,351.0,138.0,3955.0,13.2,79,1,mercury grand marquis,2
288,18.2,8,318.0,135.0,3830.0,15.2,79,1,dodge st. regis,2
289,16.9,8,350.0,155.0,4360.0,14.9,79,1,buick estate wagon (sw),2
290,15.5,8,351.0,142.0,4054.0,14.3,79,1,ford country squire (sw),2
291,19.2,8,267.0,125.0,3605.0,15.0,79,1,chevrolet malibu classic (sw),3
292,18.5,8,360.0,150.0,3940.0,13.0,79,1,chrysler lebaron town @ country (sw),2
293,31.9,4,89.0,71.0,1925.0,14.0,79,2,vw rabbit custom,1
294,34.1,4,86.0,65.0,1975.0,15.2,79,3,maxda glc deluxe,1
295,35.7,4,98.0,80.0,1915.0,14.4,79,1,dodge colt hatchback custom,1
296,27.4,4,121.0,80.0,2670.0,15.0,79,1,amc spirit dl,1
297,25.4,5,183.0,77.0,3530.0,20.1,79,2,mercedes benz 300d,3
298,23.0,8,350.0,125.0,3900.0,17.4,79,1,cadillac eldorado,2
299,27.2,4,141.0,71.0,3190.0,24.8,79,2,peugeot 504,3
300,23.9,8,260.0,90.0,3420.0,22.2,79,1,oldsmobile cutlass salon brougham,3
301,34.2,4,105.0,70.0,2200.0,13.2,79,1,plymouth horizon,1
302,34.5,4,105.0,70.0,2150.0,14.9,79,1,plymouth horizon tc3,1
303,31.8,4,85.0,65.0,2020.0,19.2,79,3,datsun 210,1
304,37.3,4,91.0,69.0,2130.0,14.7,79,2,fiat strada custom,1
305,28.4,4,151.0,90.0,2670.0,16.0,79,1,buick skylark limited,1
306,28.8,6,173.0,115.0,2595.0,11.3,79,1,chevrolet citation,1
307,26.8,6,173.0,115.0,2700.0,12.9,79,1,oldsmobile omega brougham,3
308,33.5,4,151.0,90.0,2556.0,13.2,79,1,pontiac phoenix,1
309,41.5,4,98.0,76.0,2144.0,14.7,80,2,vw rabbit,1
310,38.1,4,89.0,60.0,1968.0,18.8,80,3,toyota corolla tercel,1
311,32.1,4,98.0,70.0,2120.0,15.5,80,1,chevrolet chevette,1
312,37.2,4,86.0,65.0,2019.0,16.4,80,3,datsun 310,1
313,28.0,4,151.0,90.0,2678.0,16.5,80,1,chevrolet citation,1
314,26.4,4,140.0,88.0,2870.0,18.1,80,1,ford fairmont,3
315,24.3,4,151.0,90.0,3003.0,20.1,80,1,amc concord,3
316,19.1,6,225.0,90.0,3381.0,18.7,80,1,dodge aspen,3
317,34.3,4,97.0,78.0,2188.0,15.8,80,2,audi 4000,1
318,29.8,4,134.0,90.0,2711.0,15.5,80,3,toyota corona liftback,3
319,31.3,4,120.0,75.0,2542.0,17.5,80,3,mazda 626,1
320,37.0,4,119.0,92.0,2434.0,15.0,80,3,datsun 510 hatchback,1
321,32.2,4,108.0,75.0,2265.0,15.2,80,3,toyota corolla,1
322,46.6,4,86.0,65.0,2110.0,17.9,80,3,mazda glc,1
323,27.9,4,156.0,105.0,2800.0,14.4,80,1,dodge colt,3
324,40.8,4,85.0,65.0,2110.0,19.2,80,3,datsun 210,1
325,44.3,4,90.0,48.0,2085.0,21.7,80,2,vw rabbit c (diesel),1
326,43.4,4,90.0,48.0,2335.0,23.7,80,2,vw dasher (diesel),1
327,36.4,5,121.0,67.0,2950.0,19.9,80,2,audi 5000s (diesel),3
328,30.0,4,146.0,67.0,3250.0,21.8,80,2,mercedes-benz 240d,3
329,44.6,4,91.0,67.0,1850.0,13.8,80,3,honda civic 1500 gl,1
330,40.9,4,85.0,104.46938775510205,1835.0,17.3,80,2,renault lecar deluxe,1
331,33.8,4,97.0,67.0,2145.0,18.0,80,3,subaru dl,1
332,29.8,4,89.0,62.0,1845.0,15.3,80,2,vokswagen rabbit,1
333,32.7,6,168.0,132.0,2910.0,11.4,80,3,datsun 280-zx,3
334,23.7,3,70.0,100.0,2420.0,12.5,80,3,mazda rx-7 gs,1
335,35.0,4,122.0,88.0,2500.0,15.1,80,2,triumph tr7 coupe,1
336,23.6,4,140.0,104.46938775510205,2905.0,14.3,80,1,ford mustang cobra,3
337,32.4,4,107.0,72.0,2290.0,17.0,80,3,honda accord,1
338,27.2,4,135.0,84.0,2490.0,15.7,81,1,plymouth reliant,1
339,26.6,4,151.0,84.0,2635.0,16.4,81,1,buick skylark,1
340,25.8,4,156.0,92.0,2620.0,14.4,81,1,dodge aries wagon (sw),1
341,23.5,6,173.0,110.0,2725.0,12.6,81,1,chevrolet citation,3
342,30.0,4,135.0,84.0,2385.0,12.9,81,1,plymouth reliant,1
343,39.1,4,79.0,58.0,1755.0,16.9,81,3,toyota starlet,1
344,39.0,4,86.0,64.0,1875.0,16.4,81,1,plymouth champ,1
345,35.1,4,81.0,60.0,1760.0,16.1,81,3,honda civic 1300,1
346,32.3,4,97.0,67.0,2065.0,17.8,81,3,subaru,1
347,37.0,4,85.0,65.0,1975.0,19.4,81,3,datsun 210 mpg,1
348,37.7,4,89.0,62.0,2050.0,17.3,81,3,toyota tercel,1
349,34.1,4,91.0,68.0,1985.0,16.0,81,3,mazda glc 4,1
350,34.7,4,105.0,63.0,2215.0,14.9,81,1,plymouth horizon 4,1
